"ID";"RegioS";"Perioden";"TotaleBevolking_1"
"2068";"GM0483";"2023JJ00";""
"2069";"GM0483";"2024JJ00";""
"2095";"GM0361";"2020JJ00";"  109436"
"2096";"GM0361";"2021JJ00";"  109896"
"2097";"GM0361";"2022JJ00";"  110783"
"2098";"GM0361";"2023JJ00";"  111834"
"2099";"GM0361";"2024JJ00";"  112304"
"2125";"GM0141";"2020JJ00";"   73107"
"2126";"GM0141";"2021JJ00";"   73132"
"2127";"GM0141";"2022JJ00";"   73155"
"2128";"GM0141";"2023JJ00";"   73949"
"2129";"GM0141";"2024JJ00";"   74317"
"2155";"GM0034";"2020JJ00";"  211893"
"2156";"GM0034";"2021JJ00";"  214715"
"2157";"GM0034";"2022JJ00";"  217828"
"2158";"GM0034";"2023JJ00";"  222825"
"2159";"GM0034";"2024JJ00";"  226500"
"2185";"GM0484";"2020JJ00";"  111897"
"2186";"GM0484";"2021JJ00";"  112587"
"2187";"GM0484";"2022JJ00";"  112926"
"2188";"GM0484";"2023JJ00";"  114182"
"2189";"GM0484";"2024JJ00";"  114966"
"2215";"GM0741";"2020JJ00";""
"2216";"GM0741";"2021JJ00";""
"2217";"GM0741";"2022JJ00";""
"2218";"GM0741";"2023JJ00";""
"2219";"GM0741";"2024JJ00";""
"2245";"GM1723";"2020JJ00";"   10203"
"2246";"GM1723";"2021JJ00";"   10373"
"2247";"GM1723";"2022JJ00";"   10425"
"2248";"GM1723";"2023JJ00";"   10463"
"2249";"GM1723";"2024JJ00";"   10455"
"2275";"GM1959";"2020JJ00";"   55967"
"2276";"GM1959";"2021JJ00";"   56352"
"2277";"GM1959";"2022JJ00";"   57009"
"2278";"GM1959";"2023JJ00";"   57726"
"2279";"GM1959";"2024JJ00";"   58277"
"2305";"GM0142";"2020JJ00";""
"2306";"GM0142";"2021JJ00";""
"2307";"GM0142";"2022JJ00";""
"2308";"GM0142";"2023JJ00";""
"2309";"GM0142";"2024JJ00";""
"2335";"GM1679";"2020JJ00";""
"2336";"GM1679";"2021JJ00";""
"2337";"GM1679";"2022JJ00";""
"2338";"GM1679";"2023JJ00";""
"2339";"GM1679";"2024JJ00";""
"2365";"GM0060";"2020JJ00";"    3716"
"2366";"GM0060";"2021JJ00";"    3746"
"2367";"GM0060";"2022JJ00";"    3757"
"2368";"GM0060";"2023JJ00";"    3840"
"2369";"GM0060";"2024JJ00";"    3839"
"2395";"GM0306";"2020JJ00";""
"2396";"GM0306";"2021JJ00";""
"2397";"GM0306";"2022JJ00";""
"2398";"GM0306";"2023JJ00";""
"2399";"GM0306";"2024JJ00";""
"2425";"GM0307";"2020JJ00";"  157276"
"2426";"GM0307";"2021JJ00";"  157462"
"2427";"GM0307";"2022JJ00";"  158590"
"2428";"GM0307";"2023JJ00";"  160759"
"2429";"GM0307";"2024JJ00";"  161852"
"2455";"GM0198";"2020JJ00";""
"2456";"GM0198";"2021JJ00";""
"2457";"GM0198";"2022JJ00";""
"2458";"GM0198";"2023JJ00";""
"2459";"GM0198";"2024JJ00";""
"2485";"GM0362";"2020JJ00";"   91675"
"2486";"GM0362";"2021JJ00";"   90829"
"2487";"GM0362";"2022JJ00";"   92331"
"2488";"GM0362";"2023JJ00";"   94418"
"2489";"GM0362";"2024JJ00";"   95014"
"2515";"GM0363";"2020JJ00";"  872757"
"2516";"GM0363";"2021JJ00";"  873338"
"2517";"GM0363";"2022JJ00";"  882633"
"2518";"GM0363";"2023JJ00";"  918117"
"2519";"GM0363";"2024JJ00";"  931298"
"2545";"GM0364";"2020JJ00";""
"2546";"GM0364";"2021JJ00";""
"2547";"GM0364";"2022JJ00";""
"2548";"GM0364";"2023JJ00";""
"2549";"GM0364";"2024JJ00";""
"2575";"GM0199";"2020JJ00";""
"2576";"GM0199";"2021JJ00";""
"2577";"GM0199";"2022JJ00";""
"2578";"GM0199";"2023JJ00";""
"2579";"GM0199";"2024JJ00";""
"2605";"GM0105";"2020JJ00";""
"2606";"GM0105";"2021JJ00";""
"2607";"GM0105";"2022JJ00";""
"2608";"GM0105";"2023JJ00";""
"2609";"GM0105";"2024JJ00";""
"2635";"GM0366";"2020JJ00";""
"2636";"GM0366";"2021JJ00";""
"2637";"GM0366";"2022JJ00";""
"2638";"GM0366";"2023JJ00";""
"2639";"GM0366";"2024JJ00";""
"2665";"GM0200";"2020JJ00";"  163818"
"2666";"GM0200";"2021JJ00";"  164781"
"2667";"GM0200";"2022JJ00";"  165611"
"2668";"GM0200";"2023JJ00";"  167191"
"2669";"GM0200";"2024JJ00";"  168211"
"2695";"GM0003";"2020JJ00";"   11642"
"2696";"GM0003";"2021JJ00";""
"2697";"GM0003";"2022JJ00";""
"2698";"GM0003";"2023JJ00";""
"2699";"GM0003";"2024JJ00";""
"2725";"GM0885";"2020JJ00";""
"2726";"GM0885";"2021JJ00";""
"2727";"GM0885";"2022JJ00";""
"2728";"GM0885";"2023JJ00";""
"2729";"GM0885";"2024JJ00";""
"2755";"GM0649";"2020JJ00";""
"2756";"GM0649";"2021JJ00";""
"2757";"GM0649";"2022JJ00";""
"2758";"GM0649";"2023JJ00";""
"2759";"GM0649";"2024JJ00";""
"2785";"GM0202";"2020JJ00";"  161348"
"2786";"GM0202";"2021JJ00";"  162424"
"2787";"GM0202";"2022JJ00";"  163888"
"2788";"GM0202";"2023JJ00";"  165770"
"2789";"GM0202";"2024JJ00";"  167632"
"2815";"GM0106";"2020JJ00";"   68599"
"2816";"GM0106";"2021JJ00";"   68836"
"2817";"GM0106";"2022JJ00";"   68979"
"2818";"GM0106";"2023JJ00";"   69414"
"2819";"GM0106";"2024JJ00";"   69701"
"2845";"GM0743";"2020JJ00";"   16721"
"2846";"GM0743";"2021JJ00";"   16817"
"2847";"GM0743";"2022JJ00";"   17068"
"2848";"GM0743";"2023JJ00";"   17242"
"2849";"GM0743";"2024JJ00";"   17302"
"2875";"GM0143";"2020JJ00";""
"2876";"GM0143";"2021JJ00";""
"2877";"GM0143";"2022JJ00";""
"2878";"GM0143";"2023JJ00";""
"2879";"GM0143";"2024JJ00";""
"2905";"GM0650";"2020JJ00";""
"2906";"GM0650";"2021JJ00";""
"2907";"GM0650";"2022JJ00";""
"2908";"GM0650";"2023JJ00";""
"2909";"GM0650";"2024JJ00";""
"2935";"GM0744";"2020JJ00";"    6859"
"2936";"GM0744";"2021JJ00";"    6899"
"2937";"GM0744";"2022JJ00";"    6931"
"2938";"GM0744";"2023JJ00";"    7071"
"2939";"GM0744";"2024JJ00";"    7076"
"2965";"GM0308";"2020JJ00";"   24868"
"2966";"GM0308";"2021JJ00";"   24792"
"2967";"GM0308";"2022JJ00";"   24876"
"2968";"GM0308";"2023JJ00";"   25008"
"2969";"GM0308";"2024JJ00";"   25065"
"2995";"GM0745";"2020JJ00";""
"2996";"GM0745";"2021JJ00";""
"2997";"GM0745";"2022JJ00";""
"2998";"GM0745";"2023JJ00";""
"2999";"GM0745";"2024JJ00";""
"3025";"GM0489";"2020JJ00";"   48714"
"3026";"GM0489";"2021JJ00";"   48643"
"3027";"GM0489";"2022JJ00";"   48714"
"3028";"GM0489";"2023JJ00";"   48812"
"3029";"GM0489";"2024JJ00";"   48690"
"3055";"GM0203";"2020JJ00";"   59082"
"3056";"GM0203";"2021JJ00";"   59992"
"3057";"GM0203";"2022JJ00";"   60584"
"3058";"GM0203";"2023JJ00";"   61655"
"3059";"GM0203";"2024JJ00";"   62592"
"3085";"GM0144";"2020JJ00";""
"3086";"GM0144";"2021JJ00";""
"3087";"GM0144";"2022JJ00";""
"3088";"GM0144";"2023JJ00";""
"3089";"GM0144";"2024JJ00";""
"3115";"GM0005";"2020JJ00";""
"3116";"GM0005";"2021JJ00";""
"3117";"GM0005";"2022JJ00";""
